location
china
usa
new zealand
britain
british
america
american
australia
ivory coast
america
canada
japanese
sydney newsroom
news corp
chinese
commmonwealth
human rights
zemin
washington
toronto
uk
japan
asia
united states
london newsroom
north korea
tokyo
electricity
murdoch
sainsbury
calenergy
wessex
ibm
pla
north america
yuan
zhuhai
wang
mao
indonesia
dalai
tibet
czech
hong kong
macau
isreal
italy
scotland
london
colombia
german
germany
mexico
virginia
russia
france
south korea
europe
africa
florida
thailand
microsoft
taiwan
singapore
melbourne
budapest
warsaw
prague
bucharest
beijing
taipei
sydney
shanghai
guangzhou
shenzhen
bangkok
abu dhabi
bogota
intel
copper
gold
zinc
microsoft
apple
skoda
volkswagen
diamond
nickel
busang
dell
texas
tobacco
computer associates
cigarette
paris
new york
chicago
spain
seoul
chad
abidjan
miami
florida
norfolk
india
california
communist
bank
general motors
chrysler
ford
xinjiang
urumqi
afghanistan
pakistan
xidan
xinhua
sichuan
chengdu
deng
turkey
tiananmen
jiang zemin
indianapolis
